Student_ID_random,Course_ID,time,Concentration,Cluster,Academic_year,Period
2416,LAN2000,20151,NA,NA,2015-2016,1
240,SAE0006,20094,NA,NA,2009-2010,4
1689,PRO2003,20093,NA,Skills,2009-2010,3
1066,SSC2046,20141,SSC,Globalization & SD,2014-2015,1
2033,SCI2017,20082,SCI,Biomedical Sciences,2008-2009,2
993,PRO3006,20173,NA,Skills,2017-2018,3
902,PRO3006,20103,NA,Skills,2010-2011,3
1971,PRO3008,20116,NA,Skills,2011-2012,6
1892,SSC2063,20175,SSC,Psychology,2017-2018,5
511,SAS2002,20161,SSC,NA,2016-2017,1
265,SSC2046,20121,SSC,Globalization & SD,2012-2013,1
1469,SSC3018,20165,SSC,Methods,2016-2017,5
2297,CAP3000,20141,NA,NA,2014-2015,1
1223,SSC2039,20071,SSC,Philosophy,2007-2008,1
18,PRO1010,20126,NA,Skills,2012-2013,6
1255,SCI2031,20104,SCI,Biomedical Sciences,2010-2011,4
1709,HUM1011,20151,HUM,Cultural Studies,2015-2016,1
1548,CAP3000,20091,NA,NA,2009-2010,1
1458,SKI3050,20081,NA,Skills,2008-2009,1
1983,SAE0001,20094,NA,NA,2009-2010,4
186,SKI3051,20071,NA,Skills,2007-2008,1
337,PRO2004,20123,NA,Skills,2012-2013,3
1070,SKI3050,20091,NA,Skills,2009-2010,1
161,UCEXTE1225,20082,NA,NA,2008-2009,2
2172,SKI1009,20092,NA,Skills,2009-2010,2
555,LAW3012,20132,NA,NA,2013-2014,2
2049,SSC1025,20144,SSC,Governance,2014-2015,4
51,CAP3000,20124,NA,NA,2012-2013,4
469,SSC1007,20112,SSC,International Law,2011-2012,2
2165,CAP3000,20164,NA,NA,2016-2017,4
2431,SAS3001,20131,SSC,NA,2013-2014,1
2056,SSC1005,20171,SSC,Psychology,2017-2018,1
1197,SKI2084,20112,NA,Skills,2011-2012,2
193,SSC2053,20135,SSC,Governance,2013-2014,5
208,COR1005,20144,NA,Methods,2014-2015,4
1716,HUM2013,20152,HUM,Cultural Studies,2015-2016,2
1361,SKI1008,20161,NA,Skills,2016-2017,1
1272,SKI1004,20114,NA,Methods,2011-2012,4
1190,SKI1008,20121,NA,Skills,2012-2013,1
1213,SSC3037,20102,NA,NA,2010-2011,2
1936,SKI1005,20115,NA,Methods,2011-2012,5
2345,SKI1009,20152,NA,Skills,2015-2016,2
1278,LAN2000,20154,NA,NA,2015-2016,4
1098,SSC3036,20171,SSC,Int. Relations,2017-2018,1
1110,PRO2003,20081,NA,Skills,2008-2009,1
1711,COR1005,20131,NA,Methods,2013-2014,1
1861,COR1002,20165,NA,Philosophy,2016-2017,5
905,PRO1012,20146,NA,Methods,2014-2015,6
2538,SSC2046,20091,SSC,Globalization & SD,2009-2010,1
2500,UCEXTE1397,20084,NA,NA,2008-2009,4
1246,SSC2024,20142,SSC,International Law,2014-2015,2
2165,SCI2031,20144,SCI,Biomedical Sciences,2014-2015,4
1313,HUM2013,20162,HUM,Cultural Studies,2016-2017,2
1777,SSC3053,20155,SSC,Business,2015-2016,5
1453,PRO1011,20106,NA,NA,2010-2011,6
2024,SSC2019,20172,SSC,Psychology,2017-2018,2
1601,SKI1004,20114,NA,Methods,2011-2012,4
732,SSC2053,20135,SSC,Governance,2013-2014,5
688,SCI2010,20114,SCI,Mathematics,2011-2012,4
1833,SAC3001,20171,SCI,NA,2017-2018,1
1309,SAS3002,20174,SSC,NA,2017-2018,4
1866,SSC2004,20115,SSC,Psychology,2011-2012,5
1199,PRO2004,20096,NA,Skills,2009-2010,6
1874,PRO3008,20143,NA,Skills,2014-2015,3
1069,COR1002,20071,NA,Philosophy,2007-2008,1
672,HUM3036,20111,HUM,Cultural Studies,2011-2012,1
1571,SSC1005,20111,SSC,Psychology,2011-2012,1
330,SSC3016,20145,SSC,Globalization & SD,2014-2015,5
2271,SSC1007,20134,SSC,International Law,2013-2014,4
1803,HUM2050,20154,HUM,History,2015-2016,4
1373,HUM2003,20121,HUM,Sociology,2012-2013,1
168,SKI1008,20111,NA,Skills,2011-2012,1
1923,COR1004,20152,NA,Philosophy,2015-2016,2
1192,SSC3036,20151,SSC,Int. Relations,2015-2016,1
1905,SSC3044,20102,SSC,Business,2010-2011,2
105,PRO1012,20146,NA,Methods,2014-2015,6
2070,SKI2005,20154,NA,Methods,2015-2016,4
55,SAE0002,20101,NA,NA,2010-2011,1
800,SKI3050,20081,NA,Skills,2008-2009,1
475,SKI1009,20132,NA,Skills,2013-2014,2
77,SAH2002,20161,HUM,NA,2016-2017,1
1528,HUM1003,20144,HUM,Cultural Studies,2014-2015,4
2365,PRO1010,20163,NA,Skills,2016-2017,3
2052,EXT0002,20122,NA,NA,2012-2013,2
1255,SKI1005,20095,NA,Methods,2009-2010,5
2446,SCI2011,20141,SCI,Computer Science,2014-2015,1
669,SSC3050,20172,SSC,Int. Relations,2017-2018,2
1123,SSC2018,20114,SSC,Business,2011-2012,4
1508,PRO1011,20106,NA,NA,2010-2011,6
2250,SKI2049,20085,NA,Skills,2008-2009,5
2311,SAS2003,20161,SSC,NA,2016-2017,1
2401,SCI1016,20132,SCI,Globalization & SD,2013-2014,2
1272,SKI2083,20125,NA,Skills,2012-2013,5
1251,SSC3051,20175,SSC,Int. Relations,2017-2018,5
521,SSC1007,20082,SSC,International Law,2008-2009,2
816,COR1004,20145,NA,Philosophy,2014-2015,5
2435,SKI1009,20172,NA,Skills,2017-2018,2
243,SCI2002,20092,SCI,Mathematics,2009-2010,2
147,PRO2003,20123,NA,Skills,2012-2013,3
2180,PRO2004,20126,NA,Skills,2012-2013,6
2501,SSC1005,20141,SSC,Psychology,2014-2015,1
1920,COR1004,20135,NA,Philosophy,2013-2014,5
1097,SSC2061,20162,SSC,Methods,2016-2017,2
279,SCI1016,20071,SCI,Globalization & SD,2007-2008,1
832,SCI2010,20144,SCI,Mathematics,2014-2015,4
2333,SCI1009,20121,SCI,Biomedical Sciences,2012-2013,1
1582,PRO1010,20143,NA,Skills,2014-2015,3
2297,COR1005,20114,NA,Methods,2011-2012,4
933,COR1003,20151,NA,History,2015-2016,1
1415,PRO1012,20166,NA,Methods,2016-2017,6
915,SKI2049,20161,NA,Skills,2016-2017,1
1211,PRO1010,20133,NA,Skills,2013-2014,3
2193,SKI1009,20172,NA,Skills,2017-2018,2
2520,SAH3001,20121,HUM,NA,2012-2013,1
1888,CAP3000,20114,NA,NA,2011-2012,4
904,SSC1001,20121,NA,NA,2012-2013,1
1044,PRO1010,20153,NA,Skills,2015-2016,3
586,SAE0002,20091,NA,NA,2009-2010,1
16,COR1003,20171,NA,History,2017-2018,1
542,SAS3001,20171,SSC,NA,2017-2018,1
921,SSC3032,20085,SSC,Int. Relations,2008-2009,5
63,SSC3040,20095,SSC,Sociology,2009-2010,5
1838,SSC2061,20152,SSC,Methods,2015-2016,2
435,SSC2046,20151,SSC,Globalization & SD,2015-2016,1
440,SAC3001,20111,SCI,NA,2011-2012,1
2428,HUM2052,20115,HUM,Philosophy,2011-2012,5
1528,PRO2004,20146,NA,Skills,2014-2015,6
1688,SAC3002,20131,SCI,NA,2013-2014,1
485,SAH3001,20141,HUM,NA,2014-2015,1
802,SSC1007,20174,SSC,International Law,2017-2018,4
1676,PRO3008,20173,NA,Skills,2017-2018,3
88,HUM2030,20155,HUM,Cultural Studies,2015-2016,5
915,COR1005,20154,NA,Methods,2015-2016,4
1587,SSC3023,20084,SSC,Philosophy,2008-2009,4
1916,SSC3010,20092,NA,NA,2009-2010,2
1465,HUM2021,20094,HUM,History,2009-2010,4
405,SCI1016,20132,SCI,Globalization & SD,2013-2014,2
709,COR1005,20071,NA,Methods,2007-2008,1
389,HUM1011,20151,HUM,Cultural Studies,2015-2016,1
609,HUM2008,20165,HUM,Philosophy,2016-2017,5
1406,HUM2051,20174,HUM,Philosophy,2017-2018,4
483,SSC2006,20124,SSC,Psychology,2012-2013,4
1720,SSC3011,20174,SSC,Governance,2017-2018,4
1709,HUM3042,20165,HUM,Literature,2016-2017,5
1063,SKI1004,20094,NA,Methods,2009-2010,4
1383,UGR3001,20174,NA,Methods,2017-2018,4
1107,SCI2020,20091,NA,NA,2009-2010,1
167,SSC3038,20104,SSC,Sociology,2010-2011,4
299,SKI1004,20104,NA,Methods,2010-2011,4
1004,HUM1014,20154,HUM,Literature,2015-2016,4
1383,SSC2006,20164,SSC,Psychology,2016-2017,4
2054,COR1003,20091,NA,History,2009-2010,1
720,SKI1008,20114,NA,Skills,2011-2012,4
1948,SSC2052,20164,SSC,Economics,2016-2017,4
1119,SKI1004,20114,NA,Methods,2011-2012,4
2363,SSC3010,20092,NA,NA,2009-2010,2
1106,COR1003,20174,NA,History,2017-2018,4
1256,PRO1010,20103,NA,Skills,2010-2011,3
1087,SAE0003,20091,NA,NA,2009-2010,1
769,COR1005,20071,NA,Methods,2007-2008,1
2519,SAC1001,20141,SCI,NA,2014-2015,1
1371,SCI2010,20114,SCI,Mathematics,2011-2012,4
164,SAE0003,20094,NA,NA,2009-2010,4
924,SSC3036,20161,SSC,Int. Relations,2016-2017,1
1670,SKI1007,20082,NA,NA,2008-2009,2
1914,PRO2004,20086,NA,Skills,2008-2009,6
877,COR1005,20151,NA,Methods,2015-2016,1
2358,HUM2052,20155,HUM,Philosophy,2015-2016,5
2377,COR1005,20141,NA,Methods,2014-2015,1
1318,SSC1006,20105,SSC,Int. Relations,2010-2011,5
737,SKI1005,20071,NA,Methods,2007-2008,1
1114,SKI2049,20091,NA,Skills,2009-2010,1
208,HUM2046,20161,HUM,Sociology,2016-2017,1
2421,SSC2018,20124,SSC,Business,2012-2013,4
324,SKI2007,20174,NA,Skills,2017-2018,4
1746,HUM2046,20171,HUM,Sociology,2017-2018,1
1737,HUM2046,20131,HUM,Sociology,2013-2014,1
2376,PRO2004,20146,NA,Skills,2014-2015,6
1807,SSC1006,20175,SSC,Int. Relations,2017-2018,5
1171,SKI2049,20121,NA,Skills,2012-2013,1
1127,SKI2007,20131,NA,Skills,2013-2014,1
882,COR1003,20164,NA,History,2016-2017,4
848,PRO1012,20156,NA,Methods,2015-2016,6
998,SAS2001,20171,SSC,NA,2017-2018,1
784,SSC3011,20124,SSC,Governance,2012-2013,4
117,SSC1009,20101,SSC,Governance,2010-2011,1
701,SSC3037,20102,NA,NA,2010-2011,2
432,PRO3008,20126,NA,Skills,2012-2013,6
2398,PRO2004,20153,NA,Skills,2015-2016,3
1271,SSC2028,20071,SSC,Sociology,2007-2008,1
927,SSC1005,20141,SSC,Psychology,2014-2015,1
886,SSC2038,20154,SSC,Economics,2015-2016,4
1889,SSC1027,20165,SSC,Economics,2016-2017,5
415,SKI2002,20071,NA,NA,2007-2008,1
2452,COR1004,20155,NA,Philosophy,2015-2016,5
2250,SCI2012,20084,SCI,Globalization & SD,2008-2009,4
1995,SKI3002,20122,NA,Skills,2012-2013,2
192,SCI2002,20161,SCI,Mathematics,2016-2017,1
613,SKI1008,20161,NA,Skills,2016-2017,1
1382,PRO3006,20113,NA,Skills,2011-2012,3
2466,PRO1010,20163,NA,Skills,2016-2017,3
2426,SSC3002,20105,SSC,Int. Relations,2010-2011,5
1877,SSC1025,20071,SSC,Governance,2007-2008,1
521,SCI2012,20104,SCI,Globalization & SD,2010-2011,4
486,HUM2043,20105,HUM,Cultural Studies,2010-2011,5
2300,SKI3002,20092,NA,Skills,2009-2010,2
516,SSC1005,20111,SSC,Psychology,2011-2012,1
258,SSC2046,20121,SSC,Globalization & SD,2012-2013,1
1267,SKI1004,20174,NA,Methods,2017-2018,4
1946,HUM2008,20094,HUM,Philosophy,2009-2010,4
36,SSC1009,20171,SSC,Governance,2017-2018,1
1393,HUM3019,20114,HUM,History,2011-2012,4
873,PRO2003,20093,NA,Skills,2009-2010,3
637,SKI1005,20125,NA,Methods,2012-2013,5
1914,SSC2038,20084,SSC,Economics,2008-2009,4
2151,SCI1006,20071,NA,NA,2007-2008,1
1748,SSC3017,20144,SSC,Business,2014-2015,4
1379,SCI2022,20141,SCI,Biomedical Sciences,2014-2015,1
2105,PRO1011,20106,NA,NA,2010-2011,6
1156,SKI1006,20071,NA,NA,2007-2008,1
282,SAS2001,20121,SSC,NA,2012-2013,1
1407,PRO2003,20143,NA,Skills,2014-2015,3
382,SSC3010,20111,NA,NA,2011-2012,1
2417,SKI1008,20161,NA,Skills,2016-2017,1
335,CAP3000,20094,NA,NA,2009-2010,4
619,SSC3016,20175,SSC,Globalization & SD,2017-2018,5
991,KEN2130,20091,NA,NA,2009-2010,1
2234,SSC1027,20135,SSC,Economics,2013-2014,5
382,SKI2085,20104,NA,Methods,2010-2011,4
1075,SKI1004,20071,NA,Methods,2007-2008,1
630,PRO2004,20086,NA,Skills,2008-2009,6
1835,SSC3019,20161,SSC,Psychology,2016-2017,1
2408,SAS3003,20171,SSC,NA,2017-2018,1
421,SAS3002,20161,SSC,NA,2016-2017,1
2371,SCI1016,20071,SCI,Globalization & SD,2007-2008,1
